age_group,year,a,s1,s2,t,deaths,population
50,2008,11,9,0,6,0,36
55,2008,12,9,0,6,0,40
60,2008,13,9,0,6,0,35
65,2008,14,9,0,6,0,24
70,2008,15,9,0,6,0,4
75,2008,16,9,0,6,0,14
80,2008,17,9,0,6,0,2
85,2008,18,9,0,6,0,4
0,2009,0,9,0,7,0,12
1,2009,1,9,0,7,2,55
5,2009,2,9,0,7,0,42
10,2009,3,9,0,7,0,31
15,2009,4,9,0,7,0,37
20,2009,5,9,0,7,0,58
25,2009,6,9,0,7,0,78
30,2009,7,9,0,7,1,92
35,2009,8,9,0,7,0,93
40,2009,9,9,0,7,0,67
45,2009,10,9,0,7,0,63
50,2009,11,9,0,7,0,35
55,2009,12,9,0,7,0,35
60,2009,13,9,0,7,0,31
65,2009,14,9,0,7,0,22
70,2009,15,9,0,7,0,8
75,2009,16,9,0,7,0,9
80,2009,17,9,0,7,0,2
85,2009,18,9,0,7,0,3
0,2010,0,9,0,8,0,11
1,2010,1,9,0,8,0,55
5,2010,2,9,0,8,0,46
10,2010,3,9,0,8,0,28
15,2010,4,9,0,8,0,34
20,2010,5,9,0,8,0,47
25,2010,6,9,0,8,0,86
30,2010,7,9,0,8,0,81
35,2010,8,9,0,8,0,89
40,2010,9,9,0,8,0,68
45,2010,10,9,0,8,0,61
50,2010,11,9,0,8,0,40
55,2010,12,9,0,8,0,41
60,2010,13,9,0,8,0,31
65,2010,14,9,0,8,0,26
70,2010,15,9,0,8,0,9
75,2010,16,9,0,8,0,6
80,2010,17,9,0,8,0,4
85,2010,18,9,0,8,0,3
0,2011,0,9,0,9,0,26
1,2011,1,9,0,9,0,49
5,2011,2,9,0,9,0,52
10,2011,3,9,0,9,0,30
15,2011,4,9,0,9,0,32
20,2011,5,9,0,9,0,31
25,2011,6,9,0,9,0,91
30,2011,7,9,0,9,0,76
35,2011,8,9,0,9,0,96
40,2011,9,9,0,9,0,71
45,2011,10,9,0,9,0,57
50,2011,11,9,0,9,0,45
55,2011,12,9,0,9,0,36
60,2011,13,9,0,9,0,31
65,2011,14,9,0,9,0,27
70,2011,15,9,0,9,0,11
75,2011,16,9,0,9,0,7
80,2011,17,9,0,9,0,6
85,2011,18,9,0,9,0,4
0,2012,0,9,0,10,0,18
1,2012,1,9,0,10,0,60
5,2012,2,9,0,10,0,53
10,2012,3,9,0,10,0,40
15,2012,4,9,0,10,0,21
20,2012,5,9,0,10,0,29
25,2012,6,9,0,10,0,98
30,2012,7,9,0,10,0,72
35,2012,8,9,0,10,0,90
40,2012,9,9,0,10,0,78
45,2012,10,9,0,10,0,61
50,2012,11,9,0,10,0,44
55,2012,12,9,0,10,0,31
60,2012,13,9,0,10,0,32
65,2012,14,9,0,10,0,35
70,2012,15,9,0,10,0,8
75,2012,16,9,0,10,0,8
80,2012,17,9,0,10,0,6
85,2012,18,9,0,10,0,4
0,2013,0,9,0,11,0,21
1,2013,1,9,0,11,0,62
5,2013,2,9,0,11,0,51
10,2013,3,9,0,11,0,62
15,2013,4,9,0,11,0,28
20,2013,5,9,0,11,0,28
25,2013,6,9,0,11,0,82
30,2013,7,9,0,11,0,73
35,2013,8,9,0,11,0,83
40,2013,9,9,0,11,0,85
45,2013,10,9,0,11,0,57
50,2013,11,9,0,11,0,51
55,2013,12,9,0,11,0,33
60,2013,13,9,0,11,0,34
65,2013,14,9,0,11,0,32
70,2013,15,9,0,11,0,11
75,2013,16,9,0,11,0,8
80,2013,17,9,0,11,0,7
85,2013,18,9,0,11,0,3
0,2014,0,9,0,12,0,17
1,2014,1,9,0,12,0,65
5,2014,2,9,0,12,0,51
10,2014,3,9,0,12,0,62
15,2014,4,9,0,12,0,29
20,2014,5,9,0,12,0,28
25,2014,6,9,0,12,0,81
30,2014,7,9,0,12,0,76
35,2014,8,9,0,12,0,70
40,2014,9,9,0,12,0,91
45,2014,10,9,0,12,0,52
50,2014,11,9,0,12,0,56
55,2014,12,9,0,12,0,35
60,2014,13,9,0,12,0,34
65,2014,14,9,0,12,0,33
70,2014,15,9,0,12,0,12
75,2014,16,9,0,12,0,8
80,2014,17,9,0,12,0,8
85,2014,18,9,0,12,0,3
0,2015,0,9,0,13,0,15
1,2015,1,9,0,13,0,67
5,2015,2,9,0,13,0,48
10,2015,3,9,0,13,0,63
15,2015,4,9,0,13,0,33
20,2015,5,9,0,13,0,31
25,2015,6,9,0,13,0,66
30,2015,7,9,0,13,1,78
35,2015,8,9,0,13,0,66
40,2015,9,9,0,13,0,88
45,2015,10,9,0,13,0,63
50,2015,11,9,0,13,0,60
55,2015,12,9,0,13,0,39
60,2015,13,9,0,13,0,30
65,2015,14,9,0,13,0,31
70,2015,15,9,0,13,0,11
75,2015,16,9,0,13,0,13
80,2015,17,9,0,13,0,7
85,2015,18,9,0,13,0,2
0,2016,0,9,0,14,0,10
1,2016,1,9,0,14,0,51
5,2016,2,9,0,14,0,65
10,2016,3,9,0,14,0,59
15,2016,4,9,0,14,0,37
20,2016,5,9,0,14,0,29
25,2016,6,9,0,14,0,53
30,2016,7,9,0,14,0,74
35,2016,8,9,0,14,0,66
40,2016,9,9,0,14,0,85
45,2016,10,9,0,14,0,62
50,2016,11,9,0,14,0,68
55,2016,12,9,0,14,0,44
60,2016,13,9,0,14,0,32
65,2016,14,9,0,14,0,30
70,2016,15,9,0,14,0,14
75,2016,16,9,0,14,0,13
80,2016,17,9,0,14,0,2
85,2016,18,9,0,14,0,3
0,2017,0,9,0,15,0,8
1,2017,1,9,0,15,0,47
5,2017,2,9,0,15,0,62
10,2017,3,9,0,15,0,59
15,2017,4,9,0,15,0,45
20,2017,5,9,0,15,0,21
25,2017,6,9,0,15,0,57
30,2017,7,9,0,15,0,67
35,2017,8,9,0,15,0,70
40,2017,9,9,0,15,0,66
45,2017,10,9,0,15,0,73
50,2017,11,9,0,15,0,64
55,2017,12,9,0,15,0,50
60,2017,13,9,0,15,0,27
65,2017,14,9,0,15,0,33
70,2017,15,9,0,15,0,21
75,2017,16,9,0,15,0,10
80,2017,17,9,0,15,0,5
85,2017,18,9,0,15,0,0
0,2018,0,9,0,16,0,5
1,2018,1,9,0,16,0,49
5,2018,2,9,0,16,0,52
10,2018,3,9,0,16,0,60
15,2018,4,9,0,16,0,49
20,2018,5,9,0,16,0,27
25,2018,6,9,0,16,0,51
30,2018,7,9,0,16,0,60
35,2018,8,9,0,16,1,72
40,2018,9,9,0,16,0,63
45,2018,10,9,0,16,0,76
50,2018,11,9,0,16,0,60
55,2018,12,9,0,16,0,53
60,2018,13,9,0,16,0,33
65,2018,14,9,0,16,0,33
70,2018,15,9,0,16,0,21
75,2018,16,9,0,16,0,16
80,2018,17,9,0,16,0,3
85,2018,18,9,0,16,0,1
0,2019,0,9,0,17,0,12
1,2019,1,9,0,17,0,43
5,2019,2,9,0,17,0,60
10,2019,3,9,0,17,0,59
15,2019,4,9,0,17,0,46
20,2019,5,9,0,17,0,31
25,2019,6,9,0,17,0,54
30,2019,7,9,0,17,0,59
35,2019,8,9,0,17,0,61
40,2019,9,9,0,17,0,53
45,2019,10,9,0,17,0,81
50,2019,11,9,0,17,0,52
55,2019,12,9,0,17,0,59
60,2019,13,9,0,17,0,34
65,2019,14,9,0,17,0,29
70,2019,15,9,0,17,0,21
75,2019,16,9,0,17,0,22
80,2019,17,9,0,17,0,2
85,2019,18,9,0,17,0,2
0,2002,0,6,1,0,0,9
1,2002,1,6,1,0,0,14
5,2002,2,6,1,0,0,21
10,2002,3,6,1,0,0,13
15,2002,4,6,1,0,0,37
20,2002,5,6,1,0,0,37
25,2002,6,6,1,0,0,199
30,2002,7,6,1,0,0,153
35,2002,8,6,1,0,0,99
40,2002,9,6,1,0,0,56
45,2002,10,6,1,0,0,44
50,2002,11,6,1,0,0,44
55,2002,12,6,1,0,0,30
60,2002,13,6,1,0,0,28
65,2002,14,6,1,0,0,24
70,2002,15,6,1,0,0,9
75,2002,16,6,1,0,0,15
80,2002,17,6,1,0,0,1
85,2002,18,6,1,0,0,3
0,2003,0,6,1,1,0,12
1,2003,1,6,1,1,0,18
5,2003,2,6,1,1,0,21
10,2003,3,6,1,1,0,16
15,2003,4,6,1,1,0,41
20,2003,5,6,1,1,0,48
25,2003,6,6,1,1,0,166
30,2003,7,6,1,1,0,163
35,2003,8,6,1,1,0,107
40,2003,9,6,1,1,0,51
45,2003,10,6,1,1,0,38
50,2003,11,6,1,1,0,49
55,2003,12,6,1,1,0,39
60,2003,13,6,1,1,0,25
65,2003,14,6,1,1,0,13
70,2003,15,6,1,1,0,22
75,2003,16,6,1,1,0,9
80,2003,17,6,1,1,0,0
85,2003,18,6,1,1,0,2
0,2004,0,6,1,2,0,7
1,2004,1,6,1,2,0,22
5,2004,2,6,1,2,0,22
10,2004,3,6,1,2,0,17
15,2004,4,6,1,2,0,36
20,2004,5,6,1,2,0,58
25,2004,6,6,1,2,0,169
30,2004,7,6,1,2,0,171
35,2004,8,6,1,2,0,107
40,2004,9,6,1,2,0,50
45,2004,10,6,1,2,0,40
50,2004,11,6,1,2,0,49
55,2004,12,6,1,2,0,36
60,2004,13,6,1,2,0,19
65,2004,14,6,1,2,0,24
70,2004,15,6,1,2,0,15
75,2004,16,6,1,2,0,14
80,2004,17,6,1,2,0,2
85,2004,18,6,1,2,0,3
0,2005,0,6,1,3,0,7
1,2005,1,6,1,3,0,23
5,2005,2,6,1,3,0,23
10,2005,3,6,1,3,0,13
15,2005,4,6,1,3,0,34
20,2005,5,6,1,3,0,69
25,2005,6,6,1,3,0,144
30,2005,7,6,1,3,0,155
35,2005,8,6,1,3,0,126
40,2005,9,6,1,3,0,50
45,2005,10,6,1,3,0,39
50,2005,11,6,1,3,0,41
55,2005,12,6,1,3,0,41
60,2005,13,6,1,3,0,21
65,2005,14,6,1,3,0,24
70,2005,15,6,1,3,0,9
75,2005,16,6,1,3,0,15
80,2005,17,6,1,3,0,2
85,2005,18,6,1,3,0,1
0,2006,0,6,1,4,0,11
1,2006,1,6,1,4,0,19
5,2006,2,6,1,4,0,26
10,2006,3,6,1,4,0,11
15,2006,4,6,1,4,0,27
20,2006,5,6,1,4,0,61
25,2006,6,6,1,4,0,144
30,2006,7,6,1,4,0,131
35,2006,8,6,1,4,0,126
40,2006,9,6,1,4,0,44
45,2006,10,6,1,4,0,39
50,2006,11,6,1,4,0,39
55,2006,12,6,1,4,0,36
60,2006,13,6,1,4,0,19
65,2006,14,6,1,4,0,15
70,2006,15,6,1,4,0,10
75,2006,16,6,1,4,0,14
80,2006,17,6,1,4,0,3
85,2006,18,6,1,4,0,1
0,2007,0,6,1,5,0,7
1,2007,1,6,1,5,0,24
5,2007,2,6,1,5,0,25
10,2007,3,6,1,5,0,12
15,2007,4,6,1,5,0,25
20,2007,5,6,1,5,0,58
25,2007,6,6,1,5,0,152
30,2007,7,6,1,5,0,132
35,2007,8,6,1,5,0,132
40,2007,9,6,1,5,0,45
45,2007,10,6,1,5,0,39
50,2007,11,6,1,5,0,43
55,2007,12,6,1,5,0,36
60,2007,13,6,1,5,0,23
65,2007,14,6,1,5,0,22
70,2007,15,6,1,5,0,13
75,2007,16,6,1,5,0,13
80,2007,17,6,1,5,0,3
85,2007,18,6,1,5,0,1
0,2008,0,6,1,6,0,8
1,2008,1,6,1,6,0,23
5,2008,2,6,1,6,0,21
10,2008,3,6,1,6,0,13
15,2008,4,6,1,6,0,23
20,2008,5,6,1,6,0,64
25,2008,6,6,1,6,0,158
30,2008,7,6,1,6,0,172
35,2008,8,6,1,6,0,148
40,2008,9,6,1,6,0,62
45,2008,10,6,1,6,0,48
50,2008,11,6,1,6,0,38
55,2008,12,6,1,6,0,35
60,2008,13,6,1,6,0,25
65,2008,14,6,1,6,0,19
70,2008,15,6,1,6,0,8
75,2008,16,6,1,6,0,15
80,2008,17,6,1,6,0,4
85,2008,18,6,1,6,0,4
0,2009,0,6,1,7,0,13
1,2009,1,6,1,7,0,24
5,2009,2,6,1,7,0,23
10,2009,3,6,1,7,0,13
15,2009,4,6,1,7,0,34
20,2009,5,6,1,7,0,55
25,2009,6,6,1,7,0,176
30,2009,7,6,1,7,0,163
35,2009,8,6,1,7,0,158
40,2009,9,6,1,7,0,59
45,2009,10,6,1,7,0,49
50,2009,11,6,1,7,0,34
55,2009,12,6,1,7,0,27
60,2009,13,6,1,7,0,29
65,2009,14,6,1,7,0,17
70,2009,15,6,1,7,0,12
75,2009,16,6,1,7,0,11
80,2009,17,6,1,7,0,4
85,2009,18,6,1,7,0,3
0,2010,0,6,1,8,1,17
1,2010,1,6,1,8,0,27
5,2010,2,6,1,8,0,18
10,2010,3,6,1,8,0,17
15,2010,4,6,1,8,0,27
20,2010,5,6,1,8,0,51
25,2010,6,6,1,8,0,166
30,2010,7,6,1,8,0,173
35,2010,8,6,1,8,0,140
40,2010,9,6,1,8,0,76
45,2010,10,6,1,8,0,46
50,2010,11,6,1,8,0,34
55,2010,12,6,1,8,0,28
60,2010,13,6,1,8,0,32
65,2010,14,6,1,8,0,19
70,2010,15,6,1,8,0,7
75,2010,16,6,1,8,0,7
80,2010,17,6,1,8,0,7
85,2010,18,6,1,8,0,2
0,2011,0,6,1,9,0,13
1,2011,1,6,1,9,0,31
5,2011,2,6,1,9,0,17
10,2011,3,6,1,9,0,19
15,2011,4,6,1,9,0,22
20,2011,5,6,1,9,0,41
25,2011,6,6,1,9,0,172
30,2011,7,6,1,9,0,181
35,2011,8,6,1,9,0,126
40,2011,9,6,1,9,0,92
45,2011,10,6,1,9,0,54
50,2011,11,6,1,9,0,29
55,2011,12,6,1,9,0,29
60,2011,13,6,1,9,0,31
65,2011,14,6,1,9,0,22
70,2011,15,6,1,9,0,6
75,2011,16,6,1,9,0,6
80,2011,17,6,1,9,0,5
85,2011,18,6,1,9,0,3
0,2012,0,6,1,10,1,14
1,2012,1,6,1,10,0,39
5,2012,2,6,1,10,0,19
10,2012,3,6,1,10,0,20
15,2012,4,6,1,10,0,24
20,2012,5,6,1,10,0,33
25,2012,6,6,1,10,0,162
30,2012,7,6,1,10,0,176
35,2012,8,6,1,10,0,124
40,2012,9,6,1,10,0,92
45,2012,10,6,1,10,0,50
50,2012,11,6,1,10,0,31
55,2012,12,6,1,10,0,35
60,2012,13,6,1,10,0,29
65,2012,14,6,1,10,0,25
70,2012,15,6,1,10,0,5
75,2012,16,6,1,10,0,10
80,2012,17,6,1,10,0,6
85,2012,18,6,1,10,0,3
0,2013,0,6,1,11,0,9
1,2013,1,6,1,11,0,44
5,2013,2,6,1,11,0,14
10,2013,3,6,1,11,0,23
15,2013,4,6,1,11,0,25
20,2013,5,6,1,11,0,29
25,2013,6,6,1,11,0,152
30,2013,7,6,1,11,0,163
35,2013,8,6,1,11,0,131
40,2013,9,6,1,11,0,104
45,2013,10,6,1,11,0,48
50,2013,11,6,1,11,0,35
55,2013,12,6,1,11,0,35
60,2013,13,6,1,11,0,30
65,2013,14,6,1,11,0,29
70,2013,15,6,1,11,0,3
75,2013,16,6,1,11,0,15
80,2013,17,6,1,11,0,6
85,2013,18,6,1,11,0,5
0,2014,0,6,1,12,0,11
1,2014,1,6,1,12,0,47
5,2014,2,6,1,12,0,19
10,2014,3,6,1,12,0,24
15,2014,4,6,1,12,0,25
20,2014,5,6,1,12,0,32
25,2014,6,6,1,12,0,157
30,2014,7,6,1,12,0,155
35,2014,8,6,1,12,0,132
40,2014,9,6,1,12,0,108
45,2014,10,6,1,12,0,48
50,2014,11,6,1,12,0,37
55,2014,12,6,1,12,0,41
60,2014,13,6,1,12,0,34
65,2014,14,6,1,12,0,25
70,2014,15,6,1,12,0,4
75,2014,16,6,1,12,0,18
80,2014,17,6,1,12,0,4
85,2014,18,6,1,12,0,6
0,2015,0,6,1,13,0,19
1,2015,1,6,1,13,0,42
5,2015,2,6,1,13,0,23
10,2015,3,6,1,13,0,20
15,2015,4,6,1,13,0,35
20,2015,5,6,1,13,0,32
25,2015,6,6,1,13,0,121
30,2015,7,6,1,13,0,149
35,2015,8,6,1,13,0,143
40,2015,9,6,1,13,0,108
45,2015,10,6,1,13,0,50
50,2015,11,6,1,13,0,34
55,2015,12,6,1,13,0,42
60,2015,13,6,1,13,0,34
65,2015,14,6,1,13,0,29
70,2015,15,6,1,13,0,5
75,2015,16,6,1,13,0,19
80,2015,17,6,1,13,0,2
85,2015,18,6,1,13,0,8
0,2016,0,6,1,14,1,16
1,2016,1,6,1,14,0,44
5,2016,2,6,1,14,0,28
10,2016,3,6,1,14,0,23
15,2016,4,6,1,14,0,34
20,2016,5,6,1,14,0,28
25,2016,6,6,1,14,0,110
30,2016,7,6,1,14,0,153
35,2016,8,6,1,14,0,132
40,2016,9,6,1,14,0,113
45,2016,10,6,1,14,0,55
50,2016,11,6,1,14,0,34
55,2016,12,6,1,14,0,43
60,2016,13,6,1,14,0,36
65,2016,14,6,1,14,0,31
70,2016,15,6,1,14,0,6
75,2016,16,6,1,14,0,17
80,2016,17,6,1,14,0,2
85,2016,18,6,1,14,0,10
0,2017,0,6,1,15,0,10
1,2017,1,6,1,15,1,48
5,2017,2,6,1,15,0,32
10,2017,3,6,1,15,0,22
15,2017,4,6,1,15,0,30
20,2017,5,6,1,15,0,26
25,2017,6,6,1,15,0,111
30,2017,7,6,1,15,0,152
35,2017,8,6,1,15,0,118
40,2017,9,6,1,15,0,122
45,2017,10,6,1,15,0,58
50,2017,11,6,1,15,0,30
55,2017,12,6,1,15,0,47
60,2017,13,6,1,15,0,36
65,2017,14,6,1,15,0,29
70,2017,15,6,1,15,0,6
75,2017,16,6,1,15,0,19
80,2017,17,6,1,15,0,2
85,2017,18,6,1,15,0,7
0,2018,0,6,1,16,0,11
1,2018,1,6,1,16,0,39
5,2018,2,6,1,16,0,35
10,2018,3,6,1,16,0,16
15,2018,4,6,1,16,0,33
20,2018,5,6,1,16,0,33
25,2018,6,6,1,16,0,104
30,2018,7,6,1,16,0,150
35,2018,8,6,1,16,0,114
40,2018,9,6,1,16,0,132
45,2018,10,6,1,16,0,57
50,2018,11,6,1,16,0,27
55,2018,12,6,1,16,0,47
60,2018,13,6,1,16,0,40
65,2018,14,6,1,16,0,36
70,2018,15,6,1,16,0,7
75,2018,16,6,1,16,0,16
80,2018,17,6,1,16,0,2
85,2018,18,6,1,16,0,6
0,2019,0,6,1,17,0,10
1,2019,1,6,1,17,0,40
5,2019,2,6,1,17,0,35
10,2019,3,6,1,17,0,17
15,2019,4,6,1,17,0,37
20,2019,5,6,1,17,0,28
25,2019,6,6,1,17,0,111
30,2019,7,6,1,17,0,125
35,2019,8,6,1,17,0,111
40,2019,9,6,1,17,0,118
45,2019,10,6,1,17,0,58
50,2019,11,6,1,17,0,30
55,2019,12,6,1,17,0,50
60,2019,13,6,1,17,0,44
65,2019,14,6,1,17,0,36
70,2019,15,6,1,17,0,7
75,2019,16,6,1,17,0,23
80,2019,17,6,1,17,0,1
85,2019,18,6,1,17,0,5
0,2002,0,6,2,0,0,12
1,2002,1,6,2,0,0,32
5,2002,2,6,2,0,0,39
10,2002,3,6,2,0,0,32
15,2002,4,6,2,0,0,42
20,2002,5,6,2,0,0,31
25,2002,6,6,2,0,0,122
30,2002,7,6,2,0,0,123
35,2002,8,6,2,0,0,77
40,2002,9,6,2,0,0,76
45,2002,10,6,2,0,0,47
50,2002,11,6,2,0,0,21
55,2002,12,6,2,0,0,26
60,2002,13,6,2,0,0,24
65,2002,14,6,2,0,0,17
70,2002,15,6,2,0,0,22
75,2002,16,6,2,0,0,12
80,2002,17,6,2,0,0,6
85,2002,18,6,2,0,0,1
0,2003,0,6,2,1,1,7
1,2003,1,6,2,1,0,35
5,2003,2,6,2,1,0,27
10,2003,3,6,2,1,0,26
15,2003,4,6,2,1,0,45
20,2003,5,6,2,1,0,29
25,2003,6,6,2,1,0,101
30,2003,7,6,2,1,0,100
35,2003,8,6,2,1,0,80
40,2003,9,6,2,1,0,80
45,2003,10,6,2,1,0,42
50,2003,11,6,2,1,0,17
55,2003,12,6,2,1,0,30
60,2003,13,6,2,1,0,25
65,2003,14,6,2,1,0,17
70,2003,15,6,2,1,0,15
75,2003,16,6,2,1,0,23
80,2003,17,6,2,1,0,7
85,2003,18,6,2,1,0,1
0,2004,0,6,2,2,0,9
1,2004,1,6,2,2,0,27
5,2004,2,6,2,2,0,37
10,2004,3,6,2,2,0,24
15,2004,4,6,2,2,0,37
20,2004,5,6,2,2,0,42
25,2004,6,6,2,2,0,100
30,2004,7,6,2,2,0,97
35,2004,8,6,2,2,0,76
40,2004,9,6,2,2,0,83
45,2004,10,6,2,2,0,42
50,2004,11,6,2,2,0,24
55,2004,12,6,2,2,0,25
60,2004,13,6,2,2,0,18
65,2004,14,6,2,2,0,12
70,2004,15,6,2,2,0,21
75,2004,16,6,2,2,0,18
80,2004,17,6,2,2,0,4
85,2004,18,6,2,2,0,0
0,2005,0,6,2,3,1,4
1,2005,1,6,2,3,0,33
5,2005,2,6,2,3,0,35
10,2005,3,6,2,3,0,25
15,2005,4,6,2,3,0,35
20,2005,5,6,2,3,0,48
25,2005,6,6,2,3,0,93
30,2005,7,6,2,3,0,105
35,2005,8,6,2,3,0,69
40,2005,9,6,2,3,0,78
45,2005,10,6,2,3,0,50
50,2005,11,6,2,3,0,22
55,2005,12,6,2,3,0,21
60,2005,13,6,2,3,0,23
65,2005,14,6,2,3,0,10
70,2005,15,6,2,3,0,16
75,2005,16,6,2,3,0,18
80,2005,17,6,2,3,0,7
85,2005,18,6,2,3,0,0
0,2006,0,6,2,4,0,12
1,2006,1,6,2,4,0,31
5,2006,2,6,2,4,0,34
10,2006,3,6,2,4,0,22
15,2006,4,6,2,4,0,40
20,2006,5,6,2,4,0,43
25,2006,6,6,2,4,0,74
30,2006,7,6,2,4,0,103
35,2006,8,6,2,4,0,56
40,2006,9,6,2,4,0,74
45,2006,10,6,2,4,0,61
50,2006,11,6,2,4,0,23
55,2006,12,6,2,4,0,22
60,2006,13,6,2,4,0,23
65,2006,14,6,2,4,0,10
70,2006,15,6,2,4,0,12
75,2006,16,6,2,4,0,11
80,2006,17,6,2,4,0,15
85,2006,18,6,2,4,0,0
0,2007,0,6,2,5,0,16
1,2007,1,6,2,5,0,33
5,2007,2,6,2,5,0,35
10,2007,3,6,2,5,0,24
15,2007,4,6,2,5,0,34
20,2007,5,6,2,5,0,42
25,2007,6,6,2,5,0,83
30,2007,7,6,2,5,0,118
35,2007,8,6,2,5,0,54
40,2007,9,6,2,5,0,70
45,2007,10,6,2,5,0,61
50,2007,11,6,2,5,0,28
55,2007,12,6,2,5,0,19
60,2007,13,6,2,5,0,26
65,2007,14,6,2,5,0,7
70,2007,15,6,2,5,0,11
75,2007,16,6,2,5,0,14
80,2007,17,6,2,5,0,10
85,2007,18,6,2,5,0,0
0,2008,0,6,2,6,0,8
1,2008,1,6,2,6,0,29
5,2008,2,6,2,6,0,35
10,2008,3,6,2,6,0,31
15,2008,4,6,2,6,0,23
20,2008,5,6,2,6,0,59
25,2008,6,6,2,6,0,75
30,2008,7,6,2,6,0,125
35,2008,8,6,2,6,0,76
40,2008,9,6,2,6,0,76
45,2008,10,6,2,6,0,63
50,2008,11,6,2,6,0,31
55,2008,12,6,2,6,0,22
60,2008,13,6,2,6,0,21
65,2008,14,6,2,6,0,15
70,2008,15,6,2,6,0,14
75,2008,16,6,2,6,0,8
80,2008,17,6,2,6,0,11
85,2008,18,6,2,6,0,1
0,2009,0,6,2,7,0,9
1,2009,1,6,2,7,1,33
5,2009,2,6,2,7,0,36
